アニメシリーズID,メディア,タイトル,よみがな,開始年月日,終了年月日,放送局／劇場／販売元,原作,uri
ANS000016000,劇場,西遊記,サイユウキ,1960/08/14,-,東映系,手塚治虫,http://mediaarts-db.jp/an/anime_series/243
ANS000016100,TV,三つのお話,ミッツノオハナシ,1960/01/15,-,NHK,浜田　広介「第三の皿」、小川　未明「眠い町」、宮沢　賢治「オッペルと象,http://mediaarts-db.jp/an/anime_series/245
ANS000016300,劇場,安寿と厨子王丸,アンジュトズシオウマル,1961/07/19,-,東映系,森鴎外,http://mediaarts-db.jp/an/anime_series/249
ANS000016200,TV,インスタントヒストリー,インスタント・ヒストリー,1961/05/01,1962/02/25,フジテレビ,-,http://mediaarts-db.jp/an/anime_series/247
ANS000016500,TV,おとぎマンガカレンダー,オトギマンガカレンダー,1962/06/25,1964/06/25,TBS,-,http://mediaarts-db.jp/an/anime_series/251
ANS000016600,劇場,アラビアンナイト シンドバッドの冒険,アラビアンナイト シンドバッドノボウケン,1962/07/21,-,東映系,NULL,http://mediaarts-db.jp/an/anime_series/253
ANS000016700,劇場,たのしい文明史 鉄ものがたり,タノシイブンメイシ テツモノガタリ,1962/04/22,-,日活系,NULL,http://mediaarts-db.jp/an/anime_series/255
ANS000016800,劇場,おとぎの世界旅行,オトギノセカイリョコウ,1962/08/25,-,東宝系,横山隆一,http://mediaarts-db.jp/an/anime_series/257
ANS000016900,個人制作,ある街角の物語,アルマチカドノモノガタリ,1962,-,NULL,NULL,http://mediaarts-db.jp/an/anime_series/259
ANS000017200,TV,仙人部落,センニンブラク,1963/09/04,1964/02/23,フジテレビ,原作、原画/小島功,http://mediaarts-db.jp/an/anime_series/265
ANS000017000,TV,鉄腕アトム,テツワンアトム,1963/01/01,1966/12/31,フジテレビ,原作/手塚治虫 （光文社刊）,http://mediaarts-db.jp/an/anime_series/261
ANS000017100,劇場,わんぱく王子の大蛇退治,ワンパクオウジノダイジャタイジ,1963/03/24,-,東映系,日本神話より,http://mediaarts-db.jp/an/anime_series/263
ANS000017600,TV,エイトマン,エイトマン,1963/11/07,1964/12/24,TBS,原作/平井和正■まんが/桑田次郎 講談社「少年マガジン」連載,http://mediaarts-db.jp/an/anime_series/269
ANS000017300,TV,鉄人28号,テツジンニジュウハチゴウ,1963/10/20,1965/11/24,フジテレビ,原作/横山光輝 雑誌「少年」連載,http://mediaarts-db.jp/an/anime_series/267
ANS000017700,TV,狼少年ケン,オオカミショウネンケン,1963/11/25,1965/08/16,NET,原作/大野寛夫,http://mediaarts-db.jp/an/anime_series/271
ANS000017900,TV,ピノキオの冒険［合作］,ピノキオノボウケン,1963/12/20,1964/03/27,CX,カルロ・コッローディ,http://mediaarts-db.jp/an/anime_series/275
ANS000017800,TV,シスコン王子,シスコンオウジ,1963/12/20,1964/03/27,フジテレビ,原作/藤子不二雄 雑誌「少年」連載,http://mediaarts-db.jp/an/anime_series/273
ANS000018000,劇場,わんわん忠臣蔵,ワンワンチュウシングラ,1963/12/21,-,東映系,手塚治虫,http://mediaarts-db.jp/an/anime_series/277
ANS000018100,TV,銀河少年隊,ギンガショウネンタイ,1963/04/07,1965/04/01,NHK,原作/手塚治虫,http://mediaarts-db.jp/an/anime_series/279
ANS000018400,TV,少年忍者風のフジ丸,ショウネンニンジャ カゼノフジマル,1964/06/07,1965/08/31,NET,原作/白土三平 「ぼくら」連載,http://mediaarts-db.jp/an/anime_series/283
ANS000018500,劇場,鉄腕アトム　宇宙の勇者,テツワンアトム ウチュウノユウシャ,1964/07/26,-,日活,原作、構成／手塚治虫,http://mediaarts-db.jp/an/anime_series/285
ANS000018200,TV,0戦はやと,ゼロセンハヤト,1964/01/21,1964/10/27,フジテレビ,原作/辻なおき 週刊「少年キング」連載,http://mediaarts-db.jp/an/anime_series/281
ANS000018700,劇場,少年忍者 風のフジ丸,ショウネンニンジャノフジマル,1964/07/21,-,東映,白土三平,http://mediaarts-db.jp/an/anime_series/289
ANS000018600,TV,ビッグX,ビッグエックス,1964/08/03,1965/09/27,TBS,原作/手塚治虫,http://mediaarts-db.jp/an/anime_series/287
ANS000018800,TVスペシャル,新宝島,シンタカラジマ,1965/01/03,-,フジテレビ,原作/ロバート・ルイス・スティブンスン,http://mediaarts-db.jp/an/anime_series/291
ANS000018900,TV,未来からきた少年 スーパージェッター,ミライカラキタショウネン スーパージェッター,1965/01/07,1966/01/20,TBS,原作/加納一朗ほか■原画/久松文雄 小学館 少年サンデー連載,http://mediaarts-db.jp/an/anime_series/293
